s_arc,x,y,z,width_left,width_right,sector
429.9196,268.7312,329.9040,0.0000,7.1400,6.7410,1
434.8919,273.6325,330.7414,0.0000,7.3010,6.6990,1
439.8548,278.5610,331.3252,0.0000,7.2240,6.7880,1
444.8204,283.5133,331.6880,0.0000,7.1350,6.9500,1
449.7958,288.4855,331.8652,0.0000,6.8780,7.2790,1
454.7843,293.4740,331.8923,0.0000,6.9500,7.2810,1
459.7860,298.4749,331.8047,0.0000,7.0690,7.2050,1
464.7984,303.4845,331.6377,0.0000,6.9190,7.2430,1
469.8174,308.4990,331.4269,0.0000,6.8810,7.1920,1
474.8379,313.5148,331.2077,0.0000,7.0710,6.9610,1
479.8547,318.5279,331.0153,0.0000,7.1290,6.8900,1
484.8650,323.5360,330.8700,0.0000,7.1200,6.9010,1
489.8693,328.5392,330.7609,0.0000,7.0900,6.9390,1
494.8689,333.5380,330.6734,0.0000,7.0240,7.0210,1
499.8642,338.5327,330.5928,0.0000,6.9580,7.1040,1
504.8562,343.5239,330.5045,0.0000,6.9760,7.0450,1
509.8456,348.5120,330.3938,0.0000,7.0580,6.8790,1
514.8332,353.4975,330.2461,0.0000,7.1410,6.7130,1
519.8205,358.4808,330.0468,0.0000,7.1900,6.6050,1
524.8092,363.4624,329.7811,0.0000,7.1570,6.6460,1
529.8012,368.4428,329.4400,0.0000,7.1230,6.6870,1
534.7974,373.4225,329.0346,0.0000,7.0890,6.7280,1
539.7976,378.4021,328.5809,0.0000,7.0550,6.7690,1
544.8014,383.3821,328.0944,0.0000,7.0220,6.8090,1
549.8079,388.3632,327.5911,0.0000,6.9880,6.8500,1
554.8161,393.3460,327.0866,0.0000,6.9540,6.8910,1
559.8250,398.3310,326.5968,0.0000,6.9210,6.9320,1
564.8339,403.3187,326.1375,0.0000,6.8550,6.8920,1
569.8421,408.3098,325.7243,0.0000,6.9360,6.8370,1
574.8490,413.3045,325.3748,0.0000,7.1640,6.7790,1
579.8511,418.3000,325.1172,0.0000,7.2230,6.6270,1
584.8455,423.2926,324.9840,0.0000,6.9590,6.7650,1
589.8314,428.2785,325.0079,0.0000,6.8030,6.9540,1
594.8114,433.2539,325.2215,0.0000,6.6080,7.2340,1
599.7916,438.2161,325.6437,0.0000,6.7000,7.1400,1
604.7785,443.1668,326.2431,0.0000,6.9460,6.9180,1
609.7746,448.1087,326.9772,0.0000,7.0660,6.8760,1
614.7788,453.0443,327.8035,0.0000,6.9890,7.0140,1
619.7877,457.9753,328.6837,0.0000,6.9310,6.8980,1
624.7946,462.8914,329.6322,0.0000,6.9430,6.7790,1
629.7929,467.7742,330.7010,0.0000,6.8990,6.7810,1
634.7805,472.6047,331.9426,0.0000,6.6960,7.0420,1
639.7611,477.3644,333.4096,0.0000,6.7310,7.1550,1
644.7454,482.0366,335.1455,0.0000,6.7880,7.0650,1
649.7407,486.6185,337.1354,0.0000,6.9490,6.9330,1
654.7471,491.1128,339.3409,0.0000,7.2310,6.7570,1
659.7592,495.5226,341.7233,0.0000,6.9930,6.9700,1
664.7680,499.8506,344.2445,0.0000,6.8600,7.1060,1
669.7690,504.1015,346.8788,0.0000,6.9920,7.0470,1
674.7651,508.2820,349.6147,0.0000,7.0200,7.0450,1
679.7593,512.3989,352.4418,0.0000,6.9880,7.0740,1
684.7534,516.4591,355.3498,0.0000,6.9950,7.0630,1
689.7486,520.4693,358.3280,0.0000,7.0730,6.9790,1
694.7454,524.4364,361.3661,0.0000,7.1510,6.8960,1
699.7437,528.3672,364.4535,0.0000,6.9270,7.0950,1
704.7432,532.2685,367.5799,0.0000,6.6680,7.3260,1
