s_arc,x,y,z,width_left,width_right,sector
419.9818,-326.6607,267.0911,0.0000,6.1950,5.9510,1
424.9815,-330.5213,270.2680,0.0000,6.2010,5.9370,1
429.9813,-334.3812,273.4459,0.0000,6.2070,5.9230,1
434.9810,-338.2403,276.6247,0.0000,6.2130,5.9100,1
439.9807,-342.0985,279.8046,0.0000,6.2180,5.8960,1
444.9805,-345.9559,282.9855,0.0000,6.2240,5.8820,1
449.9803,-349.8122,286.1677,0.0000,6.2300,5.8680,1
454.9801,-353.6676,289.3510,0.0000,6.2360,5.8540,1
459.9798,-357.5220,292.5357,0.0000,6.2420,5.8410,1
464.9797,-361.3752,295.7217,0.0000,6.2480,5.8270,1
469.9795,-365.2274,298.9090,0.0000,6.2530,5.8130,1
474.9793,-369.0783,302.0979,0.0000,6.2590,5.7990,1
479.9792,-372.9280,305.2882,0.0000,6.2650,5.7850,1
484.9791,-376.7765,308.4801,0.0000,6.2710,5.7720,1
489.9790,-380.6236,311.6736,0.0000,6.2770,5.7580,1
494.9789,-384.4694,314.8689,0.0000,6.2820,5.7440,1
499.9789,-388.3137,318.0658,0.0000,6.2880,5.7300,1
504.9789,-392.1566,321.2646,0.0000,6.2940,5.7160,1
509.9789,-395.9981,324.4651,0.0000,6.3000,5.7030,1
514.9790,-399.8387,327.6667,0.0000,6.3060,5.6890,1
519.9790,-403.6793,330.8684,0.0000,6.3110,5.6750,1
524.9791,-407.5205,334.0693,0.0000,6.3170,5.6610,1
529.9792,-411.3633,337.2685,0.0000,6.3230,5.6470,1
534.9793,-415.2083,340.4648,0.0000,6.3290,5.6340,1
539.9795,-419.0564,343.6576,0.0000,6.3350,5.6200,1
544.9796,-422.9083,346.8456,0.0000,6.3410,5.6060,1
549.9797,-426.7649,350.0281,0.0000,6.3460,5.5920,1
554.9799,-430.6269,353.2040,0.0000,6.3520,5.5780,1
559.9801,-434.4951,356.3725,0.0000,6.3580,5.5650,1
564.9804,-438.3703,359.5324,0.0000,6.3640,5.5510,1
569.9808,-442.2533,362.6830,0.0000,6.3700,5.5370,1
574.9813,-446.1448,365.8233,0.0000,6.3750,5.5230,1
579.9810,-450.0367,368.9619,0.0000,6.3810,5.5090,1
584.9771,-453.9024,372.1270,0.0000,6.3870,5.4960,1
