s_arc,x,y,z,width_left,width_right,sector
404.9522,-395.8803,-84.9423,0.0000,6.3690,6.6280,1
409.9508,-400.7603,-86.0251,0.0000,6.3640,6.6220,1
414.9504,-405.6396,-87.1146,0.0000,6.3600,6.6170,1
419.9509,-410.5192,-88.2081,0.0000,6.3560,6.6120,1
424.9528,-415.3999,-89.3025,0.0000,6.3510,6.6070,1
429.9558,-420.2820,-90.3956,0.0000,6.3470,6.6020,1
434.9594,-425.1653,-91.4861,0.0000,6.3430,6.5970,1
439.9627,-430.0492,-92.5729,0.0000,6.3380,6.5920,1
444.9652,-434.9333,-93.6549,0.0000,6.3340,6.5870,1
449.9662,-439.8170,-94.7312,0.0000,6.3290,6.5820,1
454.9648,-444.6999,-95.8006,0.0000,6.3250,6.5770,1
459.9604,-449.5815,-96.8620,0.0000,6.3210,6.5720,1
464.9524,-454.4612,-97.9145,0.0000,6.3160,6.5670,1
469.9405,-459.3389,-98.9583,0.0000,6.3120,6.5620,1
474.9283,-464.2157,-100.0051,0.0000,6.3080,6.5560,1
479.9213,-469.0935,-101.0713,0.0000,6.3030,6.5510,1
484.9249,-473.9742,-102.1734,0.0000,6.2990,6.5460,1
489.9447,-478.8598,-103.3265,0.0000,6.2950,6.5410,1
494.9759,-483.7527,-104.4976,0.0000,6.2900,6.5360,1
499.9999,-488.6564,-105.5908,0.0000,6.3690,6.5470,1
505.0019,-493.5740,-106.5061,0.0000,6.6700,6.6010,1
509.9779,-498.5089,-107.1437,0.0000,6.8720,6.5980,1
514.9399,-503.4627,-107.4293,0.0000,6.8310,6.4570,1
519.9070,-508.4296,-107.3903,0.0000,6.7900,6.3160,1
524.8895,-513.4024,-107.0794,0.0000,6.7790,6.2290,1
529.8888,-518.3735,-106.5493,0.0000,6.6530,6.2780,1
534.8996,-523.3352,-105.8499,0.0000,6.3330,6.5310,1
539.9137,-528.2753,-104.9911,0.0000,6.2260,6.5780,1
544.9251,-533.1778,-103.9523,0.0000,6.2700,6.4800,1
549.9304,-538.0270,-102.7120,0.0000,6.3310,6.3090,1
554.9292,-542.8072,-101.2499,0.0000,6.3240,6.2010,1
559.9229,-547.5061,-99.5595,0.0000,6.2280,6.1760,1
564.9129,-552.1142,-97.6449,0.0000,6.3380,6.0280,1
569.9004,-556.6219,-95.5106,0.0000,6.4610,5.8720,1
574.8864,-561.0196,-93.1610,0.0000,6.3730,5.9570,1
579.8722,-565.2978,-90.6005,0.0000,6.2660,6.0540,1
584.8593,-569.4469,-87.8336,0.0000,6.0510,6.1460,1
589.8490,-573.4573,-84.8647,0.0000,5.8360,6.2380,1
594.8434,-577.3195,-81.6982,0.0000,6.2140,5.8780,1
599.8431,-581.0213,-78.3376,0.0000,6.3310,5.8530,1
604.8415,-584.5317,-74.7794,0.0000,6.1010,6.2480,1
609.8328,-587.8115,-71.0169,0.0000,6.1340,6.2740,1
614.8174,-590.8213,-67.0436,0.0000,6.4430,5.9180,1
619.8028,-593.5223,-62.8533,0.0000,6.4920,5.8670,1
624.7977,-595.8971,-58.4590,0.0000,6.3360,6.0570,1
629.8018,-597.9548,-53.8976,0.0000,6.2280,6.1970,1
634.8083,-599.7063,-49.2074,0.0000,6.3370,6.1080,1
639.8060,-601.1624,-44.4266,0.0000,6.4390,6.0360,1
644.7903,-602.3325,-39.5815,0.0000,6.4760,6.1290,1
649.7683,-603.2243,-34.6842,0.0000,6.5120,6.2220,1
