s_arc,x,y,z,width_left,width_right,sector
429.8005,193.4168,332.7026,0.0000,6.1050,6.0700,1
434.8136,196.6670,328.8859,0.0000,5.9650,6.2070,1
439.7610,199.4231,324.7773,0.0000,6.2330,5.7420,1
444.6713,201.5762,320.3643,0.0000,6.0840,5.5910,1
449.6121,203.0235,315.6403,0.0000,5.8250,5.6460,1
454.6235,203.7485,310.6815,0.0000,5.7100,5.7850,1
459.6797,203.7985,305.6256,0.0000,5.6430,5.8010,1
464.7267,203.2222,300.6116,0.0000,5.5770,5.6510,1
469.7236,202.0922,295.7441,0.0000,5.6080,5.3630,1
474.7082,200.5714,290.9972,0.0000,5.6000,5.1820,1
479.7000,198.8439,286.3139,0.0000,5.5390,5.1420,1
484.6944,197.0770,281.6424,0.0000,5.4790,5.1020,1
489.6887,195.3195,276.9676,0.0000,5.4180,5.0620,1
494.6828,193.5696,272.2901,0.0000,5.3580,5.0220,1
499.6771,191.8252,267.6104,0.0000,5.2970,4.9820,1
504.6716,190.0841,262.9292,0.0000,5.2360,4.9420,1
509.6665,188.3443,258.2471,0.0000,5.1760,4.9030,1
514.6619,186.6037,253.5647,0.0000,5.1150,4.8630,1
519.6580,184.8602,248.8826,0.0000,5.0550,4.8230,1
524.6550,183.1117,244.2015,0.0000,4.9940,4.7830,1
529.6530,181.3562,239.5220,0.0000,4.9340,4.7430,1
534.6522,179.5914,234.8446,0.0000,4.8730,4.7030,1
539.6528,177.8155,230.1701,0.0000,4.8130,4.6640,1
544.6549,176.0262,225.4989,0.0000,4.7520,4.6240,1
549.6588,174.2215,220.8318,0.0000,4.6920,4.5840,1
554.6644,172.4029,216.1683,0.0000,4.6310,4.5440,1
559.6708,170.5796,211.5057,0.0000,4.5710,4.5040,1
564.6771,168.7618,206.8411,0.0000,4.5100,4.4640,1
569.6823,166.9596,202.1715,0.0000,4.4500,4.4240,1
574.6858,165.1834,197.4940,0.0000,4.3890,4.3850,1
579.6867,163.4432,192.8056,0.0000,4.3290,4.3450,1
584.6847,161.7493,188.1034,0.0000,4.2680,4.3050,1
589.6798,160.1118,183.3844,0.0000,4.2720,4.1900,1
594.6721,158.5409,178.6456,0.0000,4.3230,4.0210,1
599.6625,157.0469,173.8841,0.0000,4.3180,4.1280,1
604.6521,155.6398,169.0970,0.0000,4.3000,4.2470,1
609.6427,154.3299,164.2814,0.0000,4.2120,4.4060,1
614.6369,153.1275,159.4341,0.0000,4.1070,4.4930,1
619.6367,152.0408,154.5538,0.0000,3.9960,4.5550,1
624.6408,151.0717,149.6445,0.0000,4.0030,4.4600,1
629.6466,150.2203,144.7116,0.0000,4.0450,4.3320,1
634.6518,149.4865,139.7605,0.0000,4.1130,4.3740,1
639.6538,148.8706,134.7965,0.0000,4.2300,4.2910,1
644.6500,148.3725,129.8252,0.0000,4.3360,4.1830,1
649.6378,147.9924,124.8519,0.0000,4.2940,4.1400,1
654.6173,147.7270,119.8795,0.0000,4.2850,4.2000,1
659.5941,147.5655,114.9054,0.0000,4.2940,4.3130,1
664.5736,147.4964,109.9263,0.0000,4.3130,4.2730,1
669.5607,147.5079,104.9392,0.0000,4.3350,4.1750,1
674.5599,147.5885,99.9407,0.0000,4.3570,4.0770,1
679.5750,147.7265,94.9275,0.0000,4.3160,4.1320,1
684.6091,147.9097,89.8967,0.0000,4.2660,4.2060,1
689.6564,148.1000,84.8530,0.0000,4.2170,4.2810,1
694.7000,148.2272,79.8110,0.0000,4.1670,4.3550,1
699.7251,148.2189,74.7859,0.0000,4.1370,4.3520,1
704.7227,148.0030,69.7930,0.0000,4.1260,4.2810,1
709.6930,147.5069,64.8475,0.0000,4.1320,4.2750,1
714.6492,146.6583,59.9645,0.0000,4.2050,4.3100,1
719.6180,145.3885,55.1607,0.0000,4.4980,4.2050,1
724.6098,143.6790,50.4707,0.0000,4.6240,4.1460,1
729.6133,141.5493,45.9430,0.0000,4.7470,4.1720,1
734.6165,139.0197,41.6265,0.0000,4.8890,4.2620,1
739.6084,136.1106,37.5698,0.0000,4.9830,4.4180,1
744.5812,132.8423,33.8219,0.0000,4.5990,4.4510,1
749.5316,129.2352,30.4313,0.0000,4.3980,4.4510,1
754.4665,125.3128,27.4369,0.0000,4.4090,4.4180,1
759.4171,121.1201,24.8043,0.0000,4.2780,4.3550,1
764.4060,116.7121,22.4680,0.0000,4.3480,4.2700,1
769.4368,112.1432,20.3622,0.0000,4.4270,4.1840,1
774.4986,107.4684,18.4210,0.0000,4.5070,4.0990,1
779.5711,102.7423,16.5787,0.0000,4.5450,4.0480,1
784.6284,98.0196,14.7695,0.0000,4.4630,4.0950,1
789.6498,93.3425,12.9424,0.0000,4.3810,4.1420,1
794.6394,88.7042,11.1032,0.0000,4.3000,4.1890,1
799.6073,84.0862,9.2717,0.0000,4.2180,4.2360,1
804.5636,79.4701,7.4675,0.0000,4.1360,4.2840,1
809.5185,74.8372,5.7103,0.0000,4.0550,4.3310,1
814.4832,70.1692,4.0198,0.0000,4.1050,4.2780,1
819.4699,65.4475,2.4155,0.0000,4.2400,4.1600,1
824.4847,60.6696,0.8924,0.0000,4.3750,4.0420,1
829.5161,55.8670,-0.6075,0.0000,4.4230,4.0380,1
834.5495,51.0756,-2.1492,0.0000,4.3140,4.2360,1
839.5720,46.3313,-3.7979,0.0000,4.2050,4.4340,1
844.5760,41.6703,-5.6184,0.0000,4.0960,4.6320,1
849.5622,37.1284,-7.6759,0.0000,4.2420,4.6350,1
854.5420,32.7432,-10.0356,0.0000,4.3920,4.6230,1
859.4998,28.6124,-12.7773,0.0000,4.5090,4.6060,1
864.4078,24.9091,-15.9981,0.0000,4.1850,4.8880,1
869.3089,21.8113,-19.7962,0.0000,4.2110,4.6730,1
874.2949,19.4393,-24.1817,0.0000,4.4350,4.2220,1
879.3655,17.7896,-28.9765,0.0000,4.5450,4.4440,1
884.4557,16.8429,-33.9779,0.0000,4.5730,4.5640,1
889.4920,16.5793,-39.0072,0.0000,4.7050,4.8180,1
894.4780,16.9756,-43.9775,0.0000,4.7540,5.0600,1
899.4330,18.0086,-48.8236,0.0000,4.5840,5.1370,1
904.3721,19.6545,-53.4804,0.0000,4.4520,4.8960,1
909.3096,21.8899,-57.8829,0.0000,4.5110,4.8020,1
914.2612,24.6913,-61.9659,0.0000,4.6120,4.7440,1
919.2471,28.0349,-65.6644,0.0000,4.6850,4.6700,1
924.2820,31.8722,-68.9241,0.0000,4.4980,4.7620,1
929.3483,36.1016,-71.7132,0.0000,4.4690,4.7970,1
934.4095,40.6154,-74.0027,0.0000,4.7880,4.6720,1
939.4171,45.3091,-75.7478,0.0000,4.6120,4.8640,1
944.3278,50.1290,-76.6881,0.0000,4.3210,5.1300,1
949.2404,55.0403,-76.5796,0.0000,4.3410,4.9520,1
954.2064,59.9465,-75.8106,0.0000,4.2900,4.7520,1
959.1737,64.7898,-74.7081,0.0000,4.1500,4.5430,1
964.1518,69.5775,-73.3444,0.0000,4.1320,4.4600,1
969.1473,74.3207,-71.7768,0.0000,4.1590,4.4240,1
974.1593,79.0304,-70.0624,0.0000,4.1860,4.3880,1
979.1818,83.7177,-68.2584,0.0000,4.2130,4.3520,1
984.2055,88.3937,-66.4220,0.0000,4.2400,4.3160,1
989.2204,93.0690,-64.6078,0.0000,4.2680,4.2800,1
994.2243,97.7484,-62.8352,0.0000,4.2950,4.2440,1
999.2199,102.4324,-61.0985,0.0000,4.3220,4.2080,1
1004.2100,107.1214,-59.3916,0.0000,4.3490,4.1720,1
1009.1971,111.8159,-57.7082,0.0000,4.3770,4.1360,1
1014.1840,116.5162,-56.0421,0.0000,4.4040,4.1000,1
1019.1732,121.2229,-54.3870,0.0000,4.4310,4.0640,1
1024.1667,125.9362,-52.7379,0.0000,4.4580,4.0280,1
1029.1646,130.6569,-51.0965,0.0000,4.4850,3.9920,1
1034.1657,135.3853,-49.4676,0.0000,4.5130,3.9560,1
1039.1692,140.1221,-47.8559,0.0000,4.4560,4.0070,1
1044.1741,144.8678,-46.2664,0.0000,4.3720,4.0870,1
1049.1795,149.6230,-44.7036,0.0000,4.2880,4.1670,1
1054.1847,154.3883,-43.1724,0.0000,4.2030,4.2470,1
1059.1890,159.1641,-41.6776,0.0000,4.1200,4.2980,1
1064.1918,163.9511,-40.2239,0.0000,4.0360,4.3340,1
1069.1928,168.7498,-38.8161,0.0000,3.9530,4.3700,1
1074.1915,173.5608,-37.4590,0.0000,3.8690,4.4050,1
1079.1878,178.3845,-36.1573,0.0000,4.0310,4.2540,1
1084.1817,183.2217,-34.9159,0.0000,4.2440,4.0640,1
1089.1734,188.0728,-33.7395,0.0000,4.4560,3.8740,1
1094.1635,192.9381,-32.6309,0.0000,4.5120,3.8760,1
1099.1530,197.8176,-31.5888,0.0000,4.5100,3.9510,1
1104.1429,202.7109,-30.6117,0.0000,4.5070,4.0260,1
1109.1342,207.6179,-29.6976,0.0000,4.4970,4.1150,1
1114.1279,212.5382,-28.8450,0.0000,4.4810,4.2160,1
1119.1248,217.4718,-28.0520,0.0000,4.4380,4.3450,1
1124.1256,222.4183,-27.3171,0.0000,4.2970,4.5700,1
1129.1299,227.3769,-26.6424,0.0000,4.1570,4.7940,1
1134.1359,232.3459,-26.0350,0.0000,4.4230,4.8060,1
1139.1422,237.3237,-25.5021,0.0000,4.7330,4.7950,1
1144.1475,242.3087,-25.0508,0.0000,4.9680,4.8040,1
1149.1510,247.2990,-24.6884,0.0000,4.9850,4.8700,1
1154.1522,252.2931,-24.4222,0.0000,5.0030,4.9360,1
1159.1508,257.2890,-24.2595,0.0000,5.0200,4.9610,1
1164.1460,262.2840,-24.2082,0.0000,5.0380,4.9710,1
1169.1373,267.2749,-24.2763,0.0000,5.1010,4.8000,1
1174.1250,272.2587,-24.4719,0.0000,5.1640,4.6280,1
1179.1098,277.2325,-24.8031,0.0000,5.1560,4.5050,1
1184.0931,282.1931,-25.2778,0.0000,5.0000,4.4860,1
1189.0770,287.1376,-25.9041,0.0000,4.8450,4.4660,1
1194.0648,292.0647,-26.6792,0.0000,4.5790,4.4740,1
1199.0588,296.9772,-27.5781,0.0000,4.2860,4.4880,1
1204.0596,301.8781,-28.5730,0.0000,3.9930,4.5030,1
1209.0663,306.7705,-29.6360,0.0000,3.9820,4.4040,1
1214.0765,311.6578,-30.7391,0.0000,4.0170,4.2850,1
1219.0873,316.5429,-31.8547,0.0000,4.0510,4.1670,1
1224.0958,321.4290,-32.9550,0.0000,4.0950,4.0960,1
1229.1005,326.3180,-34.0246,0.0000,4.1580,4.1330,1
1234.1018,331.2105,-35.0624,0.0000,4.2220,4.1690,1
1239.1004,336.1069,-36.0684,0.0000,4.2860,4.2050,1
1244.0969,341.0075,-37.0424,0.0000,4.3000,4.2250,1
1249.0919,345.9129,-37.9843,0.0000,4.2400,4.2190,1
1254.0861,350.8234,-38.8941,0.0000,4.1810,4.2140,1
1259.0799,355.7396,-39.7718,0.0000,4.1210,4.2090,1
1264.0741,360.6617,-40.6171,0.0000,4.0620,4.2040,1
1269.0692,365.5903,-41.4300,0.0000,4.0030,4.1980,1
1274.0660,370.5257,-42.2105,0.0000,3.9950,4.1810,1
1279.0650,375.4684,-42.9584,0.0000,4.0920,4.1410,1
1284.0668,380.4188,-43.6736,0.0000,4.1900,4.1000,1
1289.0721,385.3774,-44.3561,0.0000,4.1210,4.1940,1
1294.0808,390.3443,-45.0018,0.0000,3.9480,4.3710,1
1299.0874,395.3175,-45.5790,0.0000,3.9160,4.4430,1
1304.0859,400.2943,-46.0444,0.0000,4.0150,4.4180,1
1309.0731,405.2718,-46.3544,0.0000,4.1180,4.3850,1
1314.0499,410.2474,-46.4657,0.0000,4.2580,4.2820,1
1319.0224,415.2181,-46.3348,0.0000,4.3980,4.1780,1
1324.0030,420.1813,-45.9182,0.0000,4.2980,4.2240,1
1329.0078,425.1340,-45.1978,0.0000,4.1080,4.3230,1
1334.0364,430.0727,-44.2513,0.0000,4.0700,4.3440,1
1339.0731,434.9940,-43.1790,0.0000,4.1250,4.3160,1
1344.0951,439.8940,-42.0790,0.0000,4.1770,4.2810,1
1349.0910,444.7638,-40.9637,0.0000,4.2230,4.2310,1
1354.0676,449.5877,-39.7405,0.0000,4.2490,4.2010,1
1359.0397,454.3496,-38.3102,0.0000,4.1750,4.2660,1
1364.0250,459.0386,-36.6170,0.0000,4.0890,4.3260,1
1369.0246,463.6546,-34.6963,0.0000,3.9720,4.3710,1
1374.0311,468.1988,-32.5951,0.0000,3.8860,4.3830,1
1379.0328,472.6731,-30.3596,0.0000,4.1840,3.9760,1
1384.0273,477.0875,-28.0234,0.0000,4.1820,3.9900,1
