s_arc,x,y,z,width_left,width_right,sector
419.2987,-173.1003,342.9221,0.0000,8.4610,7.9630,1
424.2779,-168.4815,341.0623,0.0000,8.4400,7.9670,1
429.2919,-163.8953,339.0357,0.0000,8.4200,7.9720,1
434.3239,-159.3285,336.9227,0.0000,8.4000,7.9760,1
439.3532,-154.7676,334.8032,0.0000,8.3790,7.9810,1
444.3686,-150.2048,332.7211,0.0000,8.3590,7.9850,1
449.3726,-145.6390,330.6732,0.0000,8.3380,7.9890,1
454.3686,-141.0697,328.6530,0.0000,8.3180,7.9940,1
459.3598,-136.4964,326.6538,0.0000,8.2970,7.9980,1
464.3494,-131.9185,324.6690,0.0000,8.2770,8.0020,1
469.3403,-127.3357,322.6924,0.0000,8.2560,8.0070,1
474.3332,-122.7490,320.7199,0.0000,8.2360,8.0110,1
479.3278,-118.1599,318.7484,0.0000,8.2160,8.0150,1
484.3239,-113.5701,316.7748,0.0000,8.1950,8.0200,1
489.3212,-108.9813,314.7961,0.0000,8.1750,8.0240,1
494.3195,-104.3949,312.8092,0.0000,8.1540,8.0290,1
499.3185,-99.8125,310.8111,0.0000,8.1340,8.0330,1
504.3180,-95.2359,308.7987,0.0000,8.1130,8.0370,1
509.3179,-90.6666,306.7689,0.0000,8.0930,8.0420,1
514.3179,-86.1062,304.7187,0.0000,8.0730,8.0460,1
519.3181,-81.5564,302.6449,0.0000,7.9630,7.9100,1
524.3184,-77.0184,300.5451,0.0000,7.7660,7.6380,1
529.3186,-72.4931,298.4182,0.0000,7.5700,7.3660,1
534.3187,-67.9808,296.2639,0.0000,7.3730,7.0940,1
539.3187,-63.4822,294.0818,0.0000,7.1770,6.8220,1
544.3184,-58.9976,291.8714,0.0000,6.9810,6.5500,1
549.3178,-54.5276,289.6324,0.0000,6.7840,6.2790,1
554.3169,-50.0727,287.3643,0.0000,6.5960,6.1290,1
559.3156,-45.6332,285.0667,0.0000,6.4100,6.0240,1
564.3140,-41.2099,282.7392,0.0000,6.2240,5.9190,1
569.3120,-36.8030,280.3814,0.0000,6.0390,5.8140,1
574.3096,-32.4131,277.9929,0.0000,5.8810,5.7340,1
579.3068,-28.0407,275.5732,0.0000,5.8090,5.7340,1
584.3038,-23.6863,273.1220,0.0000,5.7380,5.7330,1
589.3005,-19.3503,270.6388,0.0000,5.6660,5.7320,1
594.2969,-15.0333,268.1232,0.0000,5.5950,5.7320,1
599.2933,-10.7357,265.5748,0.0000,5.5550,5.7010,1
604.2896,-6.4581,262.9932,0.0000,5.5640,5.6220,1
609.2859,-2.2008,260.3780,0.0000,5.5740,5.5430,1
614.2825,2.0355,257.7287,0.0000,5.5840,5.4650,1
619.2793,6.2505,255.0450,0.0000,5.5940,5.3860,1
624.2766,10.4436,252.3264,0.0000,5.5670,5.3000,1
629.2745,14.6143,249.5726,0.0000,5.5150,5.2090,1
634.2730,18.7629,246.7841,0.0000,5.4640,5.1180,1
639.2723,22.8901,243.9631,0.0000,5.4130,5.0260,1
644.2721,26.9971,241.1116,0.0000,5.3610,4.9350,1
649.2723,31.0847,238.2317,0.0000,5.3100,4.8440,1
654.2727,35.1539,235.3257,0.0000,5.2320,4.7650,1
659.2730,39.2058,232.3955,0.0000,5.0050,4.7490,1
664.2730,43.2413,229.4434,0.0000,4.7780,4.7330,1
669.2724,47.2613,226.4715,0.0000,4.5510,4.7180,1
674.2707,51.2670,223.4818,0.0000,4.4590,4.7390,1
679.2677,55.2592,220.4765,0.0000,4.6110,4.8280,1
684.2628,59.2389,217.4577,0.0000,4.7640,4.9160,1
689.2565,63.2089,214.4285,0.0000,4.9130,4.9760,1
694.2508,67.1756,211.3939,0.0000,5.0540,4.9560,1
699.2482,71.1457,208.3588,0.0000,5.1940,4.9360,1
704.2482,75.1096,205.3111,0.0000,5.2820,4.9000,1
709.2477,79.0354,202.2156,0.0000,5.1880,4.8090,1
714.2449,82.8917,199.0373,0.0000,5.0930,4.7190,1
719.2413,86.6704,195.7685,0.0000,4.9980,4.6290,1
724.2385,90.3823,192.4228,0.0000,4.9040,4.5380,1
729.2370,94.0382,189.0141,0.0000,4.8640,4.5090,1
734.2363,97.6468,185.5541,0.0000,4.8700,4.5340,1
739.2353,101.2154,182.0535,0.0000,4.8770,4.5580,1
744.2333,104.7500,178.5198,0.0000,4.8840,4.5820,1
749.2307,108.2539,174.9566,0.0000,4.8910,4.6070,1
754.2279,111.7306,171.3670,0.0000,4.8980,4.6310,1
759.2252,115.1833,167.7542,0.0000,4.9050,4.6550,1
764.2227,118.6154,164.1216,0.0000,4.9010,4.6610,1
769.2206,122.0302,160.4722,0.0000,4.8970,4.6670,1
774.2188,125.4310,156.8094,0.0000,4.8930,4.6740,1
779.2173,128.8212,153.1363,0.0000,4.8900,4.6800,1
784.2161,132.2041,149.4561,0.0000,4.8860,4.6860,1
789.2150,135.5831,145.7721,0.0000,4.8820,4.6920,1
794.2140,138.9614,142.0875,0.0000,4.8780,4.6980,1
799.2129,142.3414,138.4045,0.0000,4.8740,4.7050,1
804.2118,145.7231,134.7230,0.0000,4.8710,4.7110,1
809.2106,149.1060,131.0428,0.0000,4.8670,4.7170,1
814.2094,152.4899,127.3635,0.0000,4.8630,4.7230,1
819.2081,155.8744,123.6848,0.0000,4.8590,4.7290,1
824.2068,159.2591,120.0064,0.0000,4.8550,4.7360,1
829.2055,162.6436,116.3278,0.0000,4.8520,4.7420,1
834.2041,166.0277,112.6489,0.0000,4.8480,4.7480,1
839.2027,169.4109,108.9693,0.0000,4.8440,4.7540,1
844.2013,172.7929,105.2886,0.0000,4.8400,4.7600,1
849.1998,176.1734,101.6065,0.0000,4.8370,4.7670,1
854.1983,179.5521,97.9229,0.0000,4.8330,4.7730,1
859.1968,182.9293,94.2378,0.0000,4.8290,4.7790,1
864.1953,186.3049,90.5514,0.0000,4.8260,4.7850,1
869.1937,189.6791,86.8637,0.0000,4.8240,4.7900,1
874.1922,193.0520,83.1748,0.0000,4.8220,4.7950,1
879.1906,196.4238,79.4849,0.0000,4.8210,4.8010,1
884.1891,199.7945,75.7940,0.0000,4.8190,4.8060,1
889.1875,203.1643,72.1022,0.0000,4.8170,4.8110,1
894.1860,206.5332,68.4096,0.0000,4.8150,4.8170,1
899.1845,209.9014,64.7163,0.0000,4.8130,4.8220,1
904.1830,213.2689,61.0225,0.0000,4.8120,4.8270,1
909.1815,216.6360,57.3281,0.0000,4.8100,4.8320,1
914.1801,220.0026,53.6333,0.0000,4.8080,4.8380,1
919.1787,223.3690,49.9383,0.0000,4.8060,4.8430,1
924.1773,226.7352,46.2430,0.0000,4.8040,4.8480,1
929.1760,230.1013,42.5476,0.0000,4.8030,4.8540,1
934.1747,233.4675,38.8522,0.0000,4.8010,4.8590,1
939.1735,236.8338,35.1569,0.0000,4.7990,4.8640,1
944.1723,240.2004,31.4617,0.0000,4.7970,4.8690,1
949.1712,243.5674,27.7668,0.0000,4.7950,4.8750,1
954.1701,246.9349,24.0723,0.0000,4.7940,4.8800,1
959.1691,250.3030,20.3782,0.0000,4.7920,4.8850,1
964.1682,253.6718,16.6848,0.0000,4.7900,4.8910,1
969.1672,257.0415,12.9921,0.0000,4.7880,4.8960,1
974.1662,260.4122,9.3004,0.0000,4.7860,4.9010,1
979.1651,263.7841,5.6100,0.0000,4.7850,4.9060,1
984.1638,267.1573,1.9210,0.0000,4.7830,4.9120,1
989.1624,270.5319,-1.7664,0.0000,4.7810,4.9170,1
994.1607,273.9082,-5.4520,0.0000,4.7790,4.9220,1
999.1586,277.2863,-9.1355,0.0000,4.7770,4.9280,1
1004.1562,280.6662,-12.8168,0.0000,4.7760,4.9330,1
1009.1535,284.0483,-16.4957,0.0000,4.7740,4.9380,1
1014.1502,287.4328,-20.1717,0.0000,4.7860,4.9120,1
1019.1468,290.8252,-23.8401,0.0000,4.8040,4.8750,1
1024.1435,294.2344,-27.4931,0.0000,4.8210,4.8380,1
1029.1411,297.6697,-31.1228,0.0000,4.8390,4.8010,1
1034.1405,301.1403,-34.7212,0.0000,4.8560,4.7640,1
1039.1427,304.6552,-38.2804,0.0000,4.7830,4.7660,1
1044.1473,308.2271,-41.7858,0.0000,4.4370,4.8860,1
1049.1461,311.8821,-45.1958,0.0000,4.1130,4.9770,1
1054.1327,315.6502,-48.4620,0.0000,4.1440,4.5910,1
1059.1069,319.5609,-51.5359,0.0000,4.1750,4.2040,1
1064.0767,323.6442,-54.3690,0.0000,4.1930,4.3290,1
1069.0595,327.9217,-56.9245,0.0000,4.2090,4.4980,1
1074.0675,332.3554,-59.2531,0.0000,4.2260,4.6670,1
1079.0949,336.8797,-61.4452,0.0000,4.3100,4.7100,1
1084.1250,341.4288,-63.5919,0.0000,4.4840,4.5860,1
1089.1379,345.9371,-65.7837,0.0000,4.6580,4.4620,1
1094.1174,350.3391,-68.1114,0.0000,4.8330,4.3390,1
